Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2000-01-03,22.85,22.85,22.85,22.85,22.85,292150.95,66.75
2000-01-04,24.67,24.67,23.13,23.66,23.66,3278746.97,775.0
2000-01-05,22.58,23.65,22.19,22.97,22.8,3456472.99,792.54
2000-01-06,23.44,24.44,22.97,23.05,23.08,3929548.4,918.17
2000-01-07,22.58,23.07,21.88,22.36,22.31,2531002.91,569.05
2000-01-10,22.73,23.05,22.19,22.46,22.36,1713072.75,385.98
2000-01-11,22.58,22.73,21.28,22.02,22.1,4334107.58,960.06
2000-01-12,22.35,22.81,22.15,22.21,22.24,2858529.5,640.02
2000-01-13,22.43,22.61,22.03,22.11,22.1,1454563.35,323.67
2000-01-14,22.11,22.89,21.51,22.65,22.31,1956604.67,431.99
2000-01-17,23.51,24.09,22.97,23.62,23.53,6433537.88,1516.93
2000-01-18,23.89,24.74,23.45,23.76,23.8,4743779.14,1139.58
2000-01-19,24.13,24.52,23.59,23.7,23.76,4854671.65,1167.76
2000-01-20,23.59,23.81,22.43,22.72,22.68,2673366.13,619.32
2000-01-21,22.73,23.89,22.58,23.32,23.33,7597388.95,1779.9
2000-01-24,23.81,23.81,22.65,22.89,22.82,2663269.81,612.84
2000-01-25,22.19,24.05,21.88,23.78,23.6,6581912.64,1534.94
2000-01-27,24.59,24.64,24.12,24.64,24.64,10774877.31,2650.87
2000-01-28,25.58,25.61,24.52,25.38,25.25,15730268.08,3959.42
2000-01-31,25.59,27.25,24.91,25.88,25.96,18620872.02,4872.05
2000-02-01,26.24,27.56,26.08,27.35,27.29,15672940.01,4213.63
2000-02-02,27.63,27.79,26.62,27.17,27.36,14447933.0,3934.78
2000-02-03,26.9,27.37,26.33,26.62,26.61,4351615.58,1165.95
2000-02-04,26.62,28.22,26.55,27.25,27.81,17898818.33,4915.8
2000-02-07,27.33,28.22,27.1,27.63,27.67,10720567.85,2980.3
2000-02-08,27.95,27.95,26.9,27.33,27.29,6772278.33,1854.33
2000-02-09,27.56,27.56,25.1,25.3,25.62,11804085.12,3041.81
2000-02-10,25.61,25.61,24.26,24.99,24.93,5217394.05,1302.01
2000-02-11,25.46,26.93,24.37,26.93,26.75,17492769.11,4607.19
2000-02-14,27.56,28.73,26.86,27.56,27.96,18717724.72,5236.36
2000-02-15,27.43,27.53,25.72,25.84,25.89,8086931.89,2136.46
2000-02-16,27.25,27.62,26.32,26.64,26.6,3247879.99,869.29
2000-02-17,26.16,27.01,26.16,26.39,26.41,1552392.3,412.67
2000-02-18,26.39,26.47,25.3,25.42,25.53,2074484.95,533.23
2000-02-21,25.61,26.0,24.67,24.75,24.84,2648536.38,674.02
2000-02-22,24.67,24.86,23.46,23.74,23.81,3665566.95,889.5
2000-02-23,24.67,25.72,24.52,25.72,25.72,2275794.73,584.59
2000-02-24,27.24,27.71,25.84,27.56,27.38,4956238.55,1339.48
2000-02-25,27.56,29.58,27.34,29.58,29.58,2961226.78,862.1
2000-02-28,31.57,31.93,29.62,31.93,31.89,8267920.59,2576.88
2000-02-29,32.69,34.45,29.35,30.74,31.27,13037197.43,4261.75
2000-03-01,31.53,33.77,31.14,33.77,33.77,6351598.44,2086.03
2000-03-02,35.58,36.49,34.41,36.49,36.49,6966934.3,2526.07
2000-03-06,37.29,37.29,33.88,34.14,34.53,8618273.08,3035.04
2000-03-07,34.8,34.8,31.76,32.16,32.09,4844074.38,1580.89
2000-03-08,32.31,33.09,30.44,32.31,32.44,4764562.66,1538.89
2000-03-09,32.62,32.62,30.22,30.9,31.11,2154189.33,672.04
2000-03-10,0.0,0.0,0.0,19.26,33.6,2878118.42,967.05
2000-03-13,30.06,31.61,28.58,29.78,29.71,2896101.69,881.33
2000-03-14,29.98,31.14,28.58,30.9,30.87,2661111.82,806.18
2000-03-15,31.61,31.66,30.05,31.14,31.18,1524877.9,467.81
2000-03-16,31.6,31.6,30.75,31.06,30.99,1164775.92,360.99
2000-03-21,30.98,33.24,30.9,32.03,31.63,2298736.22,736.42
2000-03-22,32.23,33.38,29.12,32.35,32.17,2476410.86,795.19
2000-03-23,33.01,34.75,31.45,32.02,31.9,2720752.02,907.81
2000-03-24,31.91,32.69,31.34,32.39,32.45,920087.94,295.99
2000-03-27,32.31,34.63,32.03,32.23,32.5,3067173.88,1012.92
2000-03-28,33.07,33.07,31.54,32.22,32.13,1669951.45,536.01
2000-03-29,32.59,32.59,29.57,29.57,29.62,1901640.1,585.42
2000-03-30,29.43,29.43,27.72,28.18,28.33,1194795.12,338.0
2000-03-31,27.79,30.6,27.56,30.6,30.6,4762032.16,1430.87
2000-04-03,32.62,33.04,32.62,33.04,33.04,400243.19,132.22
2000-04-04,34.57,35.69,34.41,35.69,35.69,10349097.88,3689.94
2000-04-05,37.37,37.55,34.1,36.44,36.58,6612342.9,2367.19
2000-04-06,35.81,36.2,34.0,36.12,35.75,6023416.73,2100.26
2000-04-07,35.89,38.62,35.89,37.99,38.22,9000494.48,3418.74
2000-04-10,38.45,39.24,36.28,36.83,37.18,16828338.93,6328.5
2000-04-11,36.6,36.6,35.58,36.36,36.15,2767290.14,1001.51
2000-04-12,35.81,36.13,34.33,35.51,35.29,4554942.05,1597.94
2000-04-13,34.95,37.05,33.48,35.04,34.93,4948351.61,1741.9
2000-04-17,34.61,34.61,32.33,33.67,33.71,7683374.63,2564.84
2000-04-18,34.57,35.33,33.89,34.57,34.67,3982175.13,1378.12
2000-04-19,33.64,36.05,33.56,35.73,35.76,4244923.44,1504.49
2000-04-20,35.73,38.46,34.73,36.67,36.98,7652584.72,2797.47
2000-04-24,36.6,36.97,34.59,34.79,34.88,2785453.24,989.0
2000-04-25,34.58,35.8,33.32,35.51,35.58,4353439.59,1515.77
2000-04-26,36.6,36.9,35.21,35.35,35.86,4969507.63,1785.98
2000-04-27,35.65,36.13,34.77,35.81,35.82,2587881.4,923.63
2000-04-28,35.81,37.18,35.81,36.6,36.77,5016752.23,1837.07
2000-05-02,36.97,38.34,35.85,37.91,37.31,5939730.34,2201.18
2000-05-03,35.18,36.44,34.72,35.91,35.88,2998400.75,1067.95
2000-05-04,36.6,36.6,34.65,35.55,35.49,3545040.56,1257.12
2000-05-05,35.27,35.27,34.04,34.68,34.95,3643627.37,1261.02
2000-05-08,34.26,35.01,33.48,34.18,34.06,3268804.79,1111.53
2000-05-09,33.71,33.85,32.35,33.48,33.08,3596562.6,1190.43
2000-05-10,32.93,34.8,31.91,34.27,34.39,2102808.58,709.33
2000-05-11,34.02,36.36,34.02,35.04,34.93,4760709.11,1672.18
2000-05-12,35.81,36.01,34.64,35.81,35.89,1708949.45,610.42
2000-05-15,35.58,36.28,35.11,35.96,35.84,1107589.14,394.84
2000-05-16,36.2,36.97,35.74,36.64,36.73,1752700.15,637.94
2000-05-17,36.05,36.44,35.66,35.97,35.92,962721.11,346.83
2000-05-18,35.81,36.44,35.69,36.24,36.24,511649.52,184.85
2000-05-19,36.17,37.37,35.89,37.21,37.18,2206327.96,814.88
2000-05-22,36.75,38.53,36.75,37.74,37.84,2201755.07,833.69
2000-05-23,37.57,39.63,37.57,39.08,39.07,4463946.75,1732.43
2000-05-24,38.92,39.08,37.53,37.83,37.86,1712340.58,651.26
2000-05-25,37.83,38.38,36.21,36.9,36.82,2275383.68,850.24
2000-05-26,37.29,37.95,36.36,37.6,37.63,1424004.65,530.1
2000-05-29,37.75,42.14,37.75,42.14,42.14,3731693.97,1535.04
2000-05-30,43.98,45.33,40.87,41.73,42.33,6286511.86,2682.54
2000-05-31,41.58,43.95,37.24,37.24,37.24,4836868.22,1876.61
2000-06-01,36.9,39.63,36.2,38.84,38.64,2394291.58,926.92
2000-06-02,38.91,41.41,38.54,40.49,40.9,3001971.71,1205.63
2000-06-05,41.69,44.14,40.49,42.82,42.41,5070046.92,2156.59
2000-06-06,42.82,43.45,40.87,41.13,41.32,1486946.07,620.19
2000-06-07,40.49,41.46,39.7,40.01,39.95,978739.07,396.04
2000-06-08,40.49,40.87,38.93,40.01,40.11,569234.49,229.28
2000-06-09,40.44,40.87,39.12,39.63,39.66,1428243.57,572.34
2000-06-12,40.49,40.49,38.15,39.03,39.2,1078019.52,420.29
2000-06-13,38.54,39.31,37.99,38.54,38.56,848334.73,328.24
2000-06-14,38.92,39.0,37.75,38.1,38.0,1880856.59,717.91
2000-06-15,37.44,37.97,37.44,37.75,37.74,975514.92,367.56
2000-06-16,37.67,39.7,37.67,38.92,38.91,2292647.61,895.21
2000-06-19,39.08,39.63,39.08,39.24,39.24,589195.91,231.55
2000-06-20,39.7,39.86,39.16,39.47,39.65,1554948.49,613.97
2000-06-21,39.93,41.41,39.55,40.87,40.88,3409755.03,1379.73
2000-06-22,40.87,41.92,39.55,40.95,40.9,3820968.02,1560.42
2000-06-23,40.25,42.43,40.25,41.66,41.75,1781203.63,739.34
2000-06-26,42.04,42.59,40.95,42.15,42.13,1078045.22,453.45
2000-06-27,42.43,44.41,42.04,43.73,43.46,3816947.48,1657.63
2000-06-28,45.15,45.15,41.89,43.61,42.94,3478040.06,1499.55
2000-06-29,43.37,43.61,42.4,42.61,42.68,1077955.3,461.61
2000-06-30,42.67,43.29,42.22,43.05,42.95,859317.35,368.6
2000-07-03,43.13,44.06,42.14,42.67,42.72,1190350.69,509.41
2000-07-04,42.28,42.28,36.67,37.37,37.37,6467693.24,2548.9
2000-07-05,35.21,39.0,35.21,37.75,37.72,1660201.97,629.72
2000-07-06,38.29,40.56,38.14,39.59,39.8,4480799.62,1774.99
2000-07-07,39.93,40.01,38.62,39.31,38.91,1489784.85,584.36
2000-07-10,39.31,39.63,37.91,38.08,38.13,1098995.72,424.65
2000-07-11,37.83,38.3,37.29,37.41,37.46,1403246.83,529.04
2000-07-12,38.06,38.84,37.52,38.22,38.19,1142065.63,436.18
2000-07-13,39.31,39.7,37.87,38.08,37.96,351842.53,134.44
2000-07-14,38.06,38.3,36.98,37.22,37.25,702169.34,264.56
2000-07-17,37.37,38.06,36.97,37.81,37.44,964737.81,360.48
2000-07-18,37.44,37.99,36.77,36.97,37.02,1162528.01,433.96
2000-07-19,37.36,37.36,36.05,36.97,37.0,810030.37,299.17
2000-07-20,37.37,40.58,37.37,39.7,39.83,4720233.92,1862.85
2000-07-21,40.33,41.66,39.08,39.58,39.65,1640433.22,651.5
2000-07-24,39.29,39.69,38.72,39.16,39.0,2699159.27,1052.39
2000-07-25,39.0,39.16,37.75,38.9,38.79,1484299.96,573.39
2000-07-26,38.76,39.31,38.38,38.92,38.9,826896.11,321.99
2000-07-27,38.54,39.16,38.14,39.08,38.94,566395.7,219.55
2000-07-28,38.92,39.28,38.66,38.92,38.92,647975.49,252.42
2000-07-31,38.79,39.78,38.79,39.78,39.39,1209759.77,476.34
2000-08-01,39.47,39.7,38.7,38.84,38.87,675040.3,264.21
2000-08-02,38.62,39.13,37.48,38.35,38.28,526588.46,200.65
2000-08-03,38.0,38.26,37.69,37.91,38.08,319100.15,121.27
2000-08-04,37.99,39.66,37.75,39.11,39.17,915938.95,356.05
2000-08-07,39.13,39.31,38.81,39.09,39.14,469979.73,183.44
2000-08-08,39.0,39.63,38.85,39.1,39.36,726665.11,284.13
2000-08-09,39.39,39.55,37.6,38.45,38.42,3427083.2,1310.06
2000-08-10,38.46,39.07,37.99,38.76,38.62,977994.05,376.45
2000-08-11,38.84,39.39,38.24,39.12,39.31,867653.89,338.31
2000-08-14,39.0,39.31,38.62,39.2,39.17,1818827.18,706.96
2000-08-16,39.39,41.18,38.22,40.56,40.7,3521431.1,1421.08
2000-08-17,40.65,40.91,39.78,39.93,39.93,1164724.54,467.1
2000-08-18,39.86,39.86,38.76,39.08,39.01,1942988.77,759.12
2000-08-21,39.12,39.31,37.37,38.14,38.17,2594971.95,984.92
2000-08-22,37.48,38.3,37.48,37.57,37.59,879908.2,332.2
2000-08-23,37.99,38.5,37.84,38.14,38.11,489709.92,187.26
2000-08-24,38.46,38.92,38.14,38.62,38.56,710505.86,274.0
2000-08-25,38.46,39.16,38.43,38.96,38.96,661963.89,256.59
2000-08-28,38.84,39.31,38.66,39.02,38.98,336197.1,131.04
2000-08-29,38.92,39.55,38.74,39.25,39.31,548951.94,215.04
2000-08-30,39.37,40.84,39.35,40.41,40.5,2019931.44,814.27
2000-08-31,40.33,41.01,39.93,40.87,40.79,1147100.94,466.67
2000-09-04,41.11,41.26,40.56,40.99,41.13,784121.63,321.23
2000-09-05,41.12,42.67,40.75,42.44,42.4,1609463.46,676.72
2000-09-06,42.04,42.19,41.3,41.88,42.04,1029965.67,431.57
2000-09-07,41.42,42.51,41.42,41.66,41.6,476440.85,199.83
2000-09-08,42.5,42.5,41.12,41.66,41.44,620910.68,257.56
2000-09-11,41.66,42.04,40.88,41.18,41.22,569016.12,235.51
2000-09-12,40.87,40.87,40.15,40.71,40.54,1092367.6,442.52
2000-09-13,40.25,40.32,39.24,39.31,39.39,309350.65,123.09
2000-09-14,39.47,40.17,39.24,39.86,39.98,954500.2,379.74
2000-09-15,40.01,40.09,39.31,39.55,39.51,210584.01,83.34
2000-09-18,39.03,39.31,38.25,39.07,38.89,400654.25,154.83
2000-09-19,38.54,39.39,38.54,38.76,39.08,1056067.1,412.05
2000-09-20,40.09,40.09,38.54,38.92,38.92,1199021.19,466.75
2000-09-21,39.31,40.09,38.62,38.9,38.9,116043.42,45.04
2000-09-22,38.62,38.62,35.81,37.01,37.44,1198237.64,450.51
2000-09-25,37.13,37.52,36.68,36.9,36.97,755476.86,279.87
2000-09-26,36.21,36.9,34.16,34.79,34.65,1198211.94,419.78
2000-09-27,34.8,34.8,31.99,33.31,33.21,2536873.17,844.43
2000-09-28,33.48,35.44,33.09,34.26,34.34,1769527.35,610.18
2000-09-29,34.64,34.71,33.64,34.1,34.09,663351.17,226.88
2000-10-03,34.02,34.41,33.48,33.86,33.78,659433.4,224.45
2000-10-04,34.26,34.88,34.02,34.1,34.18,552317.37,190.49
2000-10-05,34.47,34.49,34.1,34.21,34.18,238753.5,81.69
2000-10-06,34.33,35.11,33.8,34.8,34.99,421540.52,145.05
2000-10-09,34.72,35.26,34.49,35.1,34.97,338573.45,118.26
2000-10-10,34.88,35.71,34.88,35.37,35.5,400371.65,141.21
2000-10-11,35.03,35.43,34.26,35.03,34.92,347886.21,121.33
2000-10-12,34.64,35.13,34.34,35.11,35.01,177135.13,61.71
2000-10-13,34.64,35.35,34.45,35.11,35.03,429568.77,150.11
2000-10-16,35.34,36.59,33.24,34.92,35.1,944391.04,326.6
2000-10-17,34.58,36.2,33.86,35.66,35.72,589812.48,206.79
2000-10-18,35.89,36.17,34.26,36.05,35.71,902502.88,316.97
2000-10-19,35.56,37.37,35.28,36.9,37.16,799728.53,291.91
2000-10-20,37.75,37.99,36.2,36.36,36.58,577827.92,212.01
2000-10-23,36.52,36.75,36.06,36.11,36.18,585881.85,212.33
2000-10-24,35.97,36.36,35.28,35.31,35.61,551919.17,198.13
2000-10-25,35.65,36.19,35.58,35.97,35.98,697121.18,249.59
2000-10-26,36.2,36.51,35.63,35.89,35.91,91316.44,32.93
2000-10-27,35.65,36.44,35.65,36.13,36.13,129852.01,46.9
2000-10-30,35.97,36.81,35.43,36.75,36.7,341142.48,123.64
2000-10-31,36.52,36.82,36.29,36.53,36.62,535336.04,195.53
2000-11-01,37.18,37.74,36.3,37.23,37.37,731006.78,272.1
2000-11-02,36.67,38.58,36.67,38.0,38.13,1026189.19,389.98
2000-11-03,38.06,38.92,37.6,37.79,38.03,551996.25,209.98
2000-11-06,37.75,38.62,37.53,37.67,37.59,145715.8,55.03
2000-11-07,37.53,38.14,37.39,38.14,37.8,291457.31,110.23
2000-11-08,37.83,38.92,37.83,37.95,38.06,365073.08,139.58
